geohash,avgtimetopark
cbfujm2,3.546
cbfgz5w,4.435
cbfgv7v,3.974
cbfgqnx,4.837
cbfgu95,3.707
cbfgjn7,3.804
cbfujmq,4.63
cbfgsex,4.208
cbfguvw,5.877
cbfgs68,3.777
cbfung5,2.6
cbfgvsm,4.12
cbfgvhc,4.69
cbfgt4z,4.678
cbfgvx1,3.86
cbfgz3u,3.908
cbfgz52,4.633
cbfu5cm,5.943
cbfgqvb,2.703
cbfgv66,5.262
cbfgt5c,4.197
cbfuj2m,4.332
cbfgsbd,5.153
cbfgv7d,4.798
cbfgxpb,4.842
cbfgv7z,6.158
cbfgunz,3.68
cbfgsuq,4.482
cbfuhfn,3.275
cbfgjns,3.162
cbfujm8,5.405
cbfgf23,3
cbfuneq,3.467
cbfgqqc,5.752
cbfgthr,5.383
cbfgvcm,6.473
cbfumb0,4.467
cbfujmh,4.013
cbfguhy,5.512
cbfgvxp,3.725
cbfgqje,3.635
cbfgv1y,8.94
cbfuhdj,4.807
cbfgur9,3.91
cbfgvz0,4.108
cbfgm1b,5.728
cbfujbu,4.663
cbfgzhp,3.245
cbfgz5u,4.018
cbfgv89,7.17
cbfgtru,8.153
cbfguyj,5.44
cbfgze6,6.007
cbfgvdn,4.902
cbfgv0f,4.49
cbfgthn,4.183
cbfgvwx,4.48
cbfgu0g,3.2
cbfuj2n,3.623
cbfgwk5,4.67
cbfunv4,4.203
cbfgvs0,5.977
cbfgvse,3.792
cbfgw8b,4.71
cbfgwk1,4.827
cbfu5b6,7.055
cbfuj5k,3.47
cbfguhu,5.968
cbfgw95,5.473
cbfgqnm,3.524
cbfgvej,4.553
cbfgqqv,6.971
cbfgv6e,5.597
cbfgkjz,3.592
cbfgqjk,4.171
cbfgw7n,5.835
cbfgv1f,5.168
cbfgsx1,4.212
cbfgvhf,4.291
cbfgtr8,4.847
cbfunvz,4.382
cbfgv0e,5.492
cbfupn3,3.203
cbfgyqy,5.65
cbfguc0,4.576
cbfgzg2,4.906
cbfgvk9,5.805
cbfunhm,3.818
cbfgmmf,3.67
cbfgvj4,6.371
cbfgv2n,5.924
cbfgz5q,4.021
cbfgdz2,5.211
cbfgqnh,5.491
cbfgv25,4.792
cbfgvfs,3.396
cbfgw0k,4.042
cbfgzhz,4.374
cbfgzmw,3.861
cbfghw4,4.933
cbfupgg,1.932
cbfgt4x,4.544
cbfgu3p,5.15
cbfguye,4.592
cbfgyjw,3.508
cbfgun4,4.533
cbfgv7t,5.444
cbfgysq,4.809
cbfgvzj,4.385
cbfgun7,5.329
cbfgecp,6.605
cbfgv23,5.385
cbfgz7n,3.977
cbfg7vx,3.173
cbfgqpk,3.223
cbfgv6x,5.709
cbfgv6w,10.676
cbfgwjt,5.086
cbfgfdc,2.43
cbfgvbe,6.336
cbfgkjx,4.238
cbfgxky,3.431
cbfgmq2,6.5
cbfgcbt,3.896
cbfgw0j,5.056
cbfgu5d,6.729
cbfgz43,4.851
