geohash,avgtimetopark
dxfy2fy,3.788
dxfwpku,3.468
dxfy123,6.183
dxfy00c,4.85
dxfy0zj,4.009
dxfwqg5,2.303
dxfwx7v,4.05
dxfvcqn,4.478
dxfy17h,5.55
dxfwqun,3.932
dxfwp6t,5.265
dxfy0d6,4.318
dxfy1pe,2.593
dxfy017,1.664
dxfy1bm,4.291
dxfy5hw,4.665
dxfy2dg,4.93
dxftyjf,2.425
dxfybqz,4.303
dxfvcm9,4.153
dxfy2fx,4.464
dxftzpg,7.352
dxfy1ct,4.628
dxfy2eq,5.497
dxfwq3r,4.313
dxfy30k,5.729
dxgnsr9,2.193
dxfy37e,4.882
dxfwnbx,4.018
dxfz6d9,5.51
dxfz4nb,4.751
dxfy29j,7.211
dxfvbxu,3.716
dxfwpfk,3.05
dxfy350,5.093
dxfvcqc,7.392
dxfy10k,4.29
dxftzpf,4.584
dxfwpdb,4.681
dxfw6fs,6.047
dxfwpkg,5.132
dxfy09y,4.493
dxfy1k0,6.62
dxfwxnc,3.771
dxfy3du,3.887
dxfy011,5.471
dxfvbx7,2.609
dxfvcqq,5.673
dxfy2by,3.037
dxfy126,6.089
dxfwy0z,4.015
dxfy409,5.581
dxfy2fw,4.203
dxfwrh6,4.354
dxfy1ee,5.54
dxfy09e,4.939
dxfy313,5.461
dxfy06e,3.168
dxfy120,6.725
dxfvfnw,6.285
dxfy1pg,2.433
dxfy0by,4.186
dxfy352,3.202
dxfy2fq,5.924
dxfy31c,5.634
dxfy10s,4.649
dxfy2fh,8.938
dxfzd4y,4.753
dxfvcpr,7.784
dxfwxp0,6.078
dxfy0qp,5.843
dxfwncn,4.401
dxfv8xp,2.88
dxfy4jf,5.118
dxfvcnw,5.583
dxftz6b,3.763
dxfwqc0,5.138
dxfvcn6,6.247
dxfw6fh,3.823
dxfwp14,4.898
dxfy06u,4.098
dxfwr5k,7.576
dxfvbzu,3.914
dxfvcr3,4.744
dxfy10r,5.25
dxfvcr7,5.888
dxfvcnk,4.586
dxfwrrq,6.789
dxfy416,7.71
dxfzd4t,5.183
dxfvbr6,4.606
dxfy067,4.585
dxfy26r,5.639
dxfy1e0,5.067
dxfy11b,5.083
dxfy0dj,3.318
dxfy0ss,4.591
dxfvcrn,6.586
dxfvcp7,5.847
dxfvbvy,7.031
dxftzjv,3.923
dxfy10w,4.901
dxfy10p,4.84
dxfy41c,6.169
dxfwncm,2.844
dxfy35z,1.962
dxfy5ke,3.16
dxfvcqj,4.422
dxfy10q,5.154
dxfvb39,2.675
dxfy2db,6.981
dxfy04z,5.923
dxfy2dc,3.795
dxfvcrj,6.307
dxfwxf7,4.181
dxfz69b,5.526
dxfy0ct,5.282
dxfy354,3.118
dxfvcr1,5.472
dxfvg8u,4.057
dxfvfpb,3.164
dxfy1h4,4.059
dxfy125,6.853
dxfy5k7,2.815
dxfvbrf,4.532
dxfy121,5.981
dxfy2d9,4.589
dxfvbze,4.266
dxfvbzw,4.285
dxfy3t0,5.011
dxfwpn8,4.462
dxfy2dm,6.992
dxfvcru,6.296
dxfy0vj,2.556
dxfvcpn,7.251
dxfvbyj,5.87
dxfvcn1,5.101
dxfvbyq,3.263
dxfvbzd,4.235
dxfy37h,6.529
dxfv8rw,5.493
dxfvbyn,4.995
dxfy412,5.101
dxfwp6r,3.569
dxfwz0h,2.302
