geohash,avgtimetopark
dpxmcj5,2.468
dpxjzzu,3.852
dpxnjet,3.558
dpxnn3m,4.046
dpxjyhj,5.471
dpxjz7k,2.38
dpxnndm,4.078
dpxnjgc,2.735
dpxmfct,6.938
dpxq03t,2.561
dpxnn36,2.758
dpxnn6k,3.535
dpxnn7f,2.914
dpxnp86,5.394
dpxnpj8,5.25
dpxjg22,1.896
dpxnhs1,4.156
dpxjz63,3.159
dpxnp4x,3.755
dpxnn55,2.701
dpxnnez,3.509
dpxnn6h,5.955
dpxmbyd,3.213
dpxjzx1,2.65
dpxjxr2,2.252
dpxq09h,2.416
dpxnn1g,4.366
dpxnpez,7.264
dpxmbyz,3.648
dpxm21d,2.651
dpxnpe2,2.712
dpxnndc,5.015
dpxjvbx,5.421
dpxnn63,3.067
dpxq10x,4.242
dpxjm0f,2.512
dpxnhu0,3.784
dpxjyv3,2.32
dpxnnvp,7.068
dpxnmx8,2.702
dpxnj69,4.283
dpxmcpg,2.476
dpxjxuf,3.569
dpxmcgx,2.613
dpxntbx,3.348
dpxnj6s,4.146
dpxnje0,5.777
dpxjzwy,1.786
dpxmfks,4.596
dpxnh6q,2.54
dpxq02u,3.096
dpxmbyt,2.048
dpxjdwu,3.862
dpxnn99,3.944
dpxnn7p,2.805
dpxnjgh,4.478
dpxjyzt,2.158
dpxnn6z,6.358
dpxmcnd,2.618
dpxmbvv,4.381
dpxmbzp,3.22
dpxjzxj,2.843
dpxnn6b,3.038
dpxnn3y,3.552
dpxjyxd,2.122
dpxmbvn,2.123
dpxnnec,4.303
dpxjg0r,1.681
dpxnp4e,2.832
dpxmbbj,1.588
dpxnn51,4.291
dpxmbyr,3.646
dpxnn95,2.978
dpxjymd,2.478
dpxjv0p,1.333
dpxnhy1,0.976
dpxnphc,4.468
dpxnn6e,4.937
dpxjyx5,1.619
dpxjwzh,3.721
dpxnjgw,5.937
dpxjukk,1.989
dpxnm78,2.215
dpxmfn8,4.276
dpxjz4c,3.517
dpxnn9z,3.91
dpxjye1,4.129
dpxjyuj,2.573
dpxjuj7,2.506
dpxjvqd,3.097
dpxnn76,4.405
dpxjz61,3.567
dpxjybw,2.396
dpxnh72,4.972
dpxnn9h,4.353
dpxjre7,2.212
dpxnp3j,1.955
